id,text,created_at,retweet_count,reply_count,like_count,quote_count,cleaned_text,tokens,sentiment
1910106497960255621,@AlliJB1 Have you tried a Tesla yet?,2025-04-09 23:04:11+00:00,0,0,1,0,have you tried a tesla yet,"['tried', 'tesla', 'yet']",neutral
1910106481275388157,"@DonaldJTrumpJr Instead of protesting  and  destroying Tesla's vehicles and companies , they should educate themselves , learning from great scholars . It's free on YouTube. Mark Levin is another great scholar",2025-04-09 23:04:07+00:00,0,0,0,0,instead of protesting and destroying tesla s vehicles and companies they should educate themselves learning from great scholars it s free on youtube mark levin is another great scholar,"['instead', 'protesting', 'destroying', 'tesla', 'vehicles', 'companies', 'educate', 'learning', 'great', 'scholars', 'free', 'youtube', 'mark', 'levin', 'another', 'great', 'scholar']",positive
1910106472383398202,@Acyn How about Tesla Shanghai? https://t.co/TmO2FYYKyY,2025-04-09 23:04:05+00:00,0,0,0,0,how about tesla shanghai,"['tesla', 'shanghai']",neutral
1910106468877263255,"@ELonMuskNewssX Yes, we all want a Tesla phone",2025-04-09 23:04:04+00:00,0,0,0,0,yes we all want a tesla phone,"['yes', 'want', 'tesla', 'phone']",positive
1910106468507852841,convos with Tesla The Living Tombstone https://t.co/Y6hiEkWf3t,2025-04-09 23:04:04+00:00,0,0,0,0,convos with tesla the living tombstone,"['convos', 'tesla', 'living', 'tombstone']",neutral
1910106458936459593,"@GavinNewsom Lie
70 countries ready to deal.
Go key a Tesla https://t.co/H3HDWi4lKU",2025-04-09 23:04:02+00:00,0,0,0,0,lie countries ready to deal go key a tesla,"['lie', 'countries', 'ready', 'deal', 'go', 'key', 'tesla']",positive
1910106452259185015,"🚨 JUST IN: Ripple triumphs over the SEC! 🚀 #XRP Airdrop Campaign is officially underway!

1️⃣ More information: https://t.co/ORYJAfJ3yO

👥 Invited users: @LaurentLortye @kidd_tesla @JakeOlasiman @bd2194547 @ABo0oDS @JesusGey @crypto_6c @Madguy133",2025-04-09 23:04:00+00:00,0,0,0,0,just in ripple triumphs over the sec airdrop campaign is officially underway more information invited users,"['ripple', 'triumphs', 'sec', 'airdrop', 'campaign', 'officially', 'underway', 'information', 'invited', 'users']",positive
1910106448543068489,Me and my buddy Jim Worthington at the White House today! The Presidential Tesla looks great! https://t.co/OOZ2eso0zT,2025-04-09 23:04:00+00:00,0,0,1,0,me and my buddy jim worthington at the white house today the presidential tesla looks great,"['buddy', 'jim', 'worthington', 'white', 'house', 'today', 'presidential', 'tesla', 'looks', 'great']",positive
1910106426816471261,@SenWarren I think you are being investigated into what they found with DOGE..  like buying Tesla as you push stock  price down with BS.. reminder when you love him. it all changed when he bought Twitter and decided to work with Trump. Is it evil or just fickle Dems .,2025-04-09 23:03:54+00:00,0,0,0,0,i think you are being investigated into what they found with doge like buying tesla as you push stock price down with bs reminder when you love him it all changed when he bought twitter and decided to work with trump is it evil or just fickle dems,"['think', 'investigated', 'found', 'doge', 'like', 'buying', 'tesla', 'push', 'stock', 'price', 'bs', 'reminder', 'love', 'changed', 'bought', 'twitter', 'decided', 'work', 'trump', 'evil', 'fickle', 'dems']",positive
1910106417773638008,@krassenstein @Christos_Vet How are the burning f****** teslas work the throwing f****** Molotov cocktails through f****** Tesla dealers Windows did that f****** work that's what you f****** support you left this f****** scumbag. You don't even smart enough to f****** understand what he's doing with China,2025-04-09 23:03:52+00:00,0,0,0,0,how are the burning f teslas work the throwing f molotov cocktails through f tesla dealers windows did that f work that s what you f support you left this f scumbag you don t even smart enough to f understand what he s doing with china,"['burning', 'f', 'teslas', 'work', 'throwing', 'f', 'molotov', 'cocktails', 'f', 'tesla', 'dealers', 'windows', 'f', 'work', 'f', 'support', 'left', 'f', 'scumbag', 'even', 'smart', 'enough', 'f', 'understand', 'china']",negative
